 &SRS
 SRSRUN=14763,SRSDAT=201364,SRSTIM=03110,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.1780	-0.00063747	  0.00
-1.1761	-0.00058496	  0.00
-1.1741	-0.00061061	  0.00
-1.1721	-0.00064541	  0.00
-1.1700	-0.00064236	  0.00
-1.1680	-0.00059290	  0.00
-1.1661	-0.00058802	  0.00
-1.1641	-0.00054833	  0.00
-1.1620	-0.00053489	  0.00
-1.1600	-0.00052451	  0.00
-1.1579	-0.00049154	  0.00
-1.1563	-0.00044696	  0.00
-1.1540	-0.00047322	  0.00
-1.1520	-0.00040789	  0.00
-1.1500	-0.00037614	  0.00
-1.1480	-0.00036392	  0.00
-1.1458	-0.00028333	  0.00
-1.1441	-0.00031569	  0.00
-1.1420	-0.00020761	  0.00
-1.1400	-0.00019357	  0.00
-1.1380	-0.00010137	  0.00
-1.1360	-6.9625e-05	  0.00
-1.1339	-1.7722e-05	  0.00
-1.1320	0.00014590	  0.00
-1.1300	0.00019230	  0.00
-1.1280	0.00029549	  0.00
-1.1260	0.00032663	  0.00
-1.1239	0.00044141	  0.00
-1.1220	0.00061847	  0.00
-1.1200	0.00078942	  0.00
-1.1180	0.00089993	  0.00
-1.1160	0.0011386	  0.00
-1.1140	0.0013145	  0.00
-1.1120	0.0015068	  0.00
-1.1100	0.0017767	  0.00
-1.1080	0.0020276	  0.00
-1.1061	0.0024049	  0.00
-1.1040	0.0027663	  0.00
-1.1020	0.0032004	  0.00
-1.1001	0.0036754	  0.00
-1.0979	0.0041858	  0.00
-1.0957	0.0048397	  0.00
-1.0940	0.0054942	  0.00
-1.0920	0.0062256	  0.00
-1.0900	0.0071335	  0.00
-1.0881	0.0081916	  0.00
-1.0860	0.0092759	  0.00
-1.0840	0.010664	  0.00
-1.0820	0.012210	  0.00
-1.0800	0.013725	  0.00
-1.0780	0.015503	  0.00
-1.0761	0.017480	  0.00
-1.0740	0.019792	  0.00
-1.0720	0.022577	  0.00
-1.0700	0.025409	  0.00
-1.0681	0.028647	  0.00
-1.0660	0.032307	  0.00
-1.0640	0.036145	  0.00
-1.0620	0.040954	  0.00
-1.0600	0.045256	  0.00
-1.0579	0.051191	  0.00
-1.0561	0.057356	  0.00
-1.0539	0.063588	  0.00
-1.0520	0.071216	  0.00
-1.0500	0.078759	  0.00
-1.0480	0.087910	  0.00
-1.0462	0.096646	  0.00
-1.0440	0.10665	  0.00
-1.0421	0.11850	  0.00
-1.0400	0.12990	  0.00
-1.0380	0.14270	  0.00
-1.0361	0.15676	  0.00
-1.0340	0.17152	  0.00
-1.0320	0.18653	  0.00
-1.0301	0.20254	  0.00
-1.0279	0.22011	  0.00
-1.0259	0.23885	  0.00
-1.0241	0.25797	  0.00
-1.0220	0.27753	  0.00
-1.0200	0.29896	  0.00
-1.0181	0.31921	  0.00
-1.0161	0.34302	  0.00
-1.0140	0.36766	  0.00
-1.0120	0.39165	  0.00
-1.0100	0.41859	  0.00
-1.0079	0.44300	  0.00
-1.0059	0.47002	  0.00
-1.0040	0.49773	  0.00
-1.0020	0.52714	  0.00
-1.0000	0.55516	  0.00
-0.99810	0.58298	  0.00
-0.99620	0.61212	  0.00
-0.99400	0.64051	  0.00
-0.99200	0.66941	  0.00
-0.98990	0.69906	  0.00
-0.98810	0.72819	  0.00
-0.98600	0.75899	  0.00
