site_id,longitude,latitude,State,County,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,full_timeseries_directory,full_timeseries_path
172,-81.885925,24.778404,Unknown,Unknown,1,offshore,16,6.48,0.235,0,0/172.nc
173,-81.866913,24.77533,Unknown,Unknown,1,offshore,16,6.48,0.235,0,0/173.nc
174,-81.8479,24.772255,Unknown,Unknown,1,offshore,16,6.49,0.235,0,0/174.nc
175,-81.803101,24.800575,Unknown,Unknown,1,offshore,16,6.48,0.235,0,0/175.nc
176,-81.818726,24.820915,Unknown,Unknown,1,offshore,16,6.46,0.233,0,0/176.nc
177,-81.799713,24.817825,Unknown,Unknown,1,offshore,16,6.47,0.234,0,0/177.nc
178,-81.780701,24.814735,Unknown,Unknown,1,offshore,16,6.47,0.234,0,0/178.nc
179,-96.971313,25.973732,Unknown,Unknown,1,offshore,16,8.21,0.374,0,0/179.nc
180,-81.83432,24.841255,Unknown,Unknown,1,offshore,16,6.44,0.232,0,0/180.nc
181,-81.815308,24.838165,Unknown,Unknown,1,offshore,16,6.45,0.233,0,0/181.nc
182,-81.796295,24.835083,Unknown,Unknown,1,offshore,16,6.45,0.233,0,0/182.nc
183,-81.777283,24.831985,Unknown,Unknown,1,offshore,16,6.46,0.233,0,0/183.nc
184,-81.75827,24.828896,Unknown,Unknown,1,offshore,16,6.46,0.234,0,0/184.nc
185,-81.112915,24.721123,Unknown,Unknown,1,offshore,16,6.57,0.237,0,0/185.nc
186,-96.99118,25.99115,Unknown,Unknown,1,offshore,16,8.23,0.375,0,0/186.nc
187,-96.971558,25.991371,Unknown,Unknown,1,offshore,16,8.22,0.374,0,0/187.nc
188,-96.951935,25.991585,Unknown,Unknown,1,offshore,16,8.2,0.373,0,0/188.nc
189,-82.249756,24.925438,Unknown,Unknown,1,offshore,16,6.38,0.226,0,0/189.nc
190,-81.868958,24.864685,Unknown,Unknown,1,offshore,16,6.42,0.231,0,0/190.nc
191,-81.81189,24.855423,Unknown,Unknown,1,offshore,16,6.44,0.232,0,0/191.nc
192,-81.792908,24.852333,Unknown,Unknown,1,offshore,16,6.44,0.232,0,0/192.nc
193,-81.773865,24.849243,Unknown,Unknown,1,offshore,16,6.45,0.233,0,0/193.nc
194,-81.583801,24.818062,Unknown,Unknown,1,offshore,16,6.51,0.236,0,0/194.nc
195,-81.564819,24.814919,Unknown,Unknown,1,offshore,16,6.52,0.237,0,0/195.nc
196,-81.545807,24.811775,Unknown,Unknown,1,offshore,16,6.53,0.237,0,0/196.nc
197,-97.011047,26.008575,Unknown,Unknown,1,offshore,16,8.24,0.376,0,0/197.nc
198,-96.991425,26.008793,Unknown,Unknown,1,offshore,16,8.23,0.375,0,0/198.nc
199,-96.971802,26.009014,Unknown,Unknown,1,offshore,16,8.21,0.374,0,0/199.nc
200,-96.952148,26.009224,Unknown,Unknown,1,offshore,16,8.2,0.373,0,0/200.nc
201,-82.265503,24.945702,Unknown,Unknown,1,offshore,16,6.36,0.225,0,0/201.nc
202,-82.24646,24.942719,Unknown,Unknown,1,offshore,16,6.36,0.225,0,0/202.nc
203,-82.227386,24.939713,Unknown,Unknown,1,offshore,16,6.36,0.225,0,0/203.nc
204,-81.979767,24.900345,Unknown,Unknown,1,offshore,16,6.39,0.228,0,0/204.nc
205,-81.960724,24.897293,Unknown,Unknown,1,offshore,16,6.39,0.229,0,0/205.nc
206,-81.941711,24.894234,Unknown,Unknown,1,offshore,16,6.4,0.229,0,0/206.nc
207,-81.903625,24.8881,Unknown,Unknown,1,offshore,16,6.4,0.229,0,0/207.nc
208,-81.884613,24.885017,Unknown,Unknown,1,offshore,16,6.4,0.23,0,0/208.nc
209,-81.86557,24.88195,Unknown,Unknown,1,offshore,16,6.41,0.23,0,0/209.nc
210,-81.846558,24.87886,Unknown,Unknown,1,offshore,16,6.41,0.23,0,0/210.nc
211,-81.827515,24.875771,Unknown,Unknown,1,offshore,16,6.42,0.231,0,0/211.nc
212,-81.78949,24.869591,Unknown,Unknown,1,offshore,16,6.43,0.232,0,0/212.nc
213,-81.580353,24.835297,Unknown,Unknown,1,offshore,16,6.5,0.236,0,0/213.nc
214,-81.56134,24.832161,Unknown,Unknown,1,offshore,16,6.51,0.236,0,0/214.nc
215,-81.542328,24.82901,Unknown,Unknown,1,offshore,16,6.52,0.237,0,0/215.nc
216,-81.523346,24.825859,Unknown,Unknown,1,offshore,16,6.53,0.237,0,0/216.nc
217,-81.504333,24.822708,Unknown,Unknown,1,offshore,16,6.54,0.237,0,0/217.nc
218,-97.011292,26.026218,Unknown,Unknown,1,offshore,16,8.24,0.377,0,0/218.nc
219,-96.991669,26.026436,Unknown,Unknown,1,offshore,16,8.23,0.375,0,0/219.nc
220,-96.972046,26.026657,Unknown,Unknown,1,offshore,16,8.21,0.374,0,0/220.nc
